epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.672,1.78526,2.91515,1.19221,1.12415,0.48322,0.35821,0.36127,0.19486,0.44604,0.31132,0.3111,0.13116,1.83647,4.5069,1.15798,1.06768,0.0673861,0.000163889,0.000163889
2,30.167,1.84333,2.886,1.1713,1.08148,0.49883,0.36095,0.37153,0.19852,0.48383,0.31162,0.33364,0.14396,1.8158,3.04434,1.13138,1.06052,0.0342173,0.000328374,0.000328374
3,45.4108,1.7626,2.75282,1.11686,1.105,0.478,0.3359,0.34903,0.19258,0.44234,0.31509,0.31918,0.14422,1.77433,2.76258,1.11332,1.06064,0.00104621,0.000490659,0.000490659
4,60.8628,1.78291,2.89805,1.16178,1.09195,0.47392,0.32524,0.35485,0.19727,0.44126,0.30953,0.32908,0.15316,1.76597,2.74808,1.10416,1.06175,0.0004901,0.0004901,0.0004901
5,76.2816,1.73346,2.80796,1.13542,1.10192,0.49287,0.31832,0.35395,0.19634,0.4613,0.29978,0.32575,0.15189,1.77178,2.72782,1.10839,1.06224,0.0004868,0.0004868,0.0004868
6,91.0618,1.74681,2.81312,1.13862,1.09305,0.493,0.3439,0.36242,0.19734,0.46036,0.32355,0.33833,0.15384,1.82893,2.77974,1.11468,1.07638,0.0004835,0.0004835,0.0004835
7,105.328,1.76272,2.76525,1.12133,1.08561,0.47064,0.33541,0.35295,0.19386,0.44303,0.3147,0.32934,0.14994,1.81903,2.76234,1.11126,1.07408,0.0004802,0.0004802,0.0004802
8,119.455,1.83573,2.83841,1.18221,1.10611,0.48588,0.31944,0.34288,0.18826,0.45471,0.29567,0.3132,0.14334,1.79851,2.73985,1.10756,1.06726,0.0004769,0.0004769,0.0004769
9,134.224,1.72777,2.75833,1.11825,1.08946,0.48053,0.31178,0.33453,0.18143,0.44033,0.28034,0.29487,0.13464,1.8065,2.75641,1.12036,1.06026,0.0004736,0.0004736,0.0004736
10,149.893,1.68578,2.74233,1.083,1.09435,0.48813,0.31586,0.34176,0.18548,0.45208,0.29209,0.30917,0.14209,1.79594,2.73873,1.10247,1.05719,0.0004703,0.0004703,0.0004703
11,164.455,1.73862,2.70712,1.07963,1.08379,0.49098,0.32115,0.34438,0.18799,0.45915,0.29734,0.31294,0.14391,1.78366,2.72468,1.09809,1.05877,0.000467,0.000467,0.000467
12,179.545,1.72147,2.71419,1.10946,1.08745,0.48382,0.33255,0.34431,0.1886,0.45507,0.31197,0.31664,0.14459,1.77782,2.71916,1.10202,1.05946,0.0004637,0.0004637,0.0004637
13,195.022,1.73255,2.76272,1.12193,1.07228,0.49579,0.34027,0.35016,0.19264,0.463,0.31182,0.31924,0.14457,1.76924,2.7382,1.09562,1.0614,0.0004604,0.0004604,0.0004604
14,210.13,1.74895,2.70224,1.09007,1.06163,0.50044,0.33586,0.35066,0.19374,0.46258,0.30888,0.31558,0.14385,1.76419,2.73725,1.07816,1.06492,0.0004571,0.0004571,0.0004571
15,225.512,1.70065,2.71557,1.04632,1.07743,0.50821,0.34163,0.35698,0.19525,0.46166,0.31785,0.31983,0.14741,1.7734,2.77545,1.08816,1.0708,0.0004538,0.0004538,0.0004538
16,240.379,1.68955,2.62444,1.02412,1.07742,0.48655,0.34742,0.34909,0.19174,0.44383,0.30946,0.30427,0.1386,1.78061,2.77765,1.1241,1.06787,0.0004505,0.0004505,0.0004505
17,256.126,1.78875,2.70781,1.10085,1.07139,0.4868,0.33764,0.35264,0.19246,0.43847,0.29973,0.30307,0.13673,1.81169,2.76605,1.09809,1.06091,0.0004472,0.0004472,0.0004472
18,271.344,1.73332,2.69018,1.0703,1.0666,0.48517,0.3243,0.3575,0.19349,0.43395,0.29352,0.31506,0.14076,1.82905,2.79432,1.09221,1.06362,0.0004439,0.0004439,0.0004439
19,286.811,1.66681,2.63839,1.04714,1.07634,0.48282,0.33025,0.36296,0.19706,0.4414,0.30368,0.32597,0.14627,1.80932,2.7864,1.09138,1.06179,0.0004406,0.0004406,0.0004406
20,302.345,1.66859,2.64645,1.02267,1.07151,0.4991,0.34624,0.36563,0.2016,0.46582,0.32326,0.33459,0.15384,1.76228,2.74472,1.08302,1.0636,0.0004373,0.0004373,0.0004373
21,317.929,1.67831,2.62317,1.01793,1.0689,0.49268,0.34202,0.36235,0.19941,0.45375,0.31323,0.32829,0.15219,1.7604,2.71317,1.06978,1.06168,0.000434,0.000434,0.000434
22,333.058,1.72291,2.68913,1.07861,1.06624,0.49228,0.33612,0.35845,0.19848,0.44755,0.30805,0.32254,0.14979,1.77174,2.72601,1.07282,1.0621,0.0004307,0.0004307,0.0004307
23,348.439,1.68242,2.63839,1.03244,1.07089,0.51475,0.33699,0.3596,0.19988,0.47282,0.31028,0.32788,0.15258,1.76185,2.69071,1.07896,1.0606,0.0004274,0.0004274,0.0004274
24,363.715,1.6457,2.61624,1.02568,1.06346,0.50127,0.33652,0.35814,0.20096,0.474,0.31882,0.33508,0.15453,1.75328,2.68936,1.07077,1.05464,0.0004241,0.0004241,0.0004241
25,379.341,1.69746,2.61968,1.047,1.05888,0.49005,0.33514,0.3556,0.2022,0.45687,0.31625,0.3301,0.15535,1.74524,2.72824,1.08425,1.05397,0.0004208,0.0004208,0.0004208
26,394.282,1.68716,2.64135,1.02808,1.07169,0.47598,0.33813,0.35478,0.20201,0.45814,0.30815,0.32773,0.15445,1.74239,2.72665,1.07878,1.05501,0.0004175,0.0004175,0.0004175
27,409.899,1.60558,2.5693,0.99285,1.05747,0.48409,0.33448,0.3553,0.201,0.45188,0.31072,0.32477,0.15327,1.74801,2.71673,1.09364,1.05409,0.0004142,0.0004142,0.0004142
28,424.689,1.63495,2.60359,1.03493,1.055,0.48413,0.33161,0.3459,0.19346,0.44716,0.30168,0.31053,0.14477,1.76735,2.71538,1.10475,1.05196,0.0004109,0.0004109,0.0004109
29,439.907,1.60122,2.55973,0.96501,1.07151,0.48224,0.34195,0.34402,0.1901,0.45261,0.31839,0.31545,0.14482,1.76218,2.68566,1.09884,1.05496,0.0004076,0.0004076,0.0004076
30,455.017,1.67186,2.6001,1.04663,1.05191,0.49216,0.34559,0.34939,0.19276,0.46507,0.32319,0.32213,0.14902,1.75774,2.68106,1.09723,1.05788,0.0004043,0.0004043,0.0004043
31,470.148,1.71237,2.61964,1.09494,1.07541,0.48949,0.3393,0.3499,0.19145,0.46826,0.30791,0.3194,0.14595,1.78382,2.71592,1.08746,1.05725,0.000401,0.000401,0.000401
32,485.135,1.72897,2.60939,1.1005,1.06209,0.49165,0.33287,0.35634,0.19809,0.46776,0.31254,0.32575,0.15089,1.77108,2.72363,1.08309,1.05598,0.0003977,0.0003977,0.0003977
33,500.879,1.63583,2.57454,1.02215,1.06063,0.49385,0.34374,0.35854,0.20068,0.45562,0.32065,0.32673,0.15274,1.74866,2.6895,1.06677,1.0551,0.0003944,0.0003944,0.0003944
34,515.723,1.63946,2.60378,1.01559,1.05982,0.48035,0.33936,0.35071,0.19385,0.44911,0.30852,0.31644,0.14717,1.75369,2.68097,1.08563,1.05641,0.0003911,0.0003911,0.0003911
35,531.125,1.6274,2.59822,0.96621,1.05189,0.48069,0.3381,0.34974,0.19413,0.43798,0.31726,0.31833,0.14772,1.75618,2.67632,1.08265,1.05479,0.0003878,0.0003878,0.0003878
36,545.773,1.5781,2.53818,0.96359,1.04763,0.49009,0.34048,0.35161,0.19511,0.45323,0.31676,0.32005,0.14815,1.75762,2.6765,1.0858,1.05747,0.0003845,0.0003845,0.0003845
