epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6718,1.78365,2.84819,1.19672,1.10679,0.45689,0.32843,0.32866,0.16874,0.41837,0.29824,0.29192,0.13074,1.92392,2.93977,1.28342,1.10803,0.000546406,0.000546406,0.000546406
2,30.7498,1.84551,2.93827,1.16926,1.10837,0.40192,0.31321,0.31032,0.16107,0.37322,0.28254,0.27846,0.13043,1.95258,2.88639,1.20525,1.13972,0.00105843,0.00105843,0.00105843
3,44.8288,1.76603,2.82532,1.15175,1.10566,0.40453,0.30743,0.30631,0.16211,0.37764,0.2876,0.28198,0.1324,1.90493,2.84696,1.16994,1.11389,0.00152645,0.00152645,0.00152645
4,58.8758,1.77531,2.89512,1.20781,1.11621,0.36202,0.31635,0.2412,0.12174,0.34724,0.29283,0.22081,0.09641,1.91944,2.92451,1.52113,1.12077,0.00146896,0.00146896,0.00146896
5,75.6414,1.79203,2.92142,1.14759,1.11206,0.3891,0.31993,0.31262,0.15927,0.35991,0.28817,0.27866,0.12629,1.91966,2.84436,1.21083,1.11604,0.00140295,0.00140295,0.00140295
6,90.4698,1.78957,2.96511,1.15947,1.11019,0.42066,0.30953,0.31732,0.15663,0.40495,0.28589,0.28572,0.12571,1.91979,2.79772,1.19912,1.10398,0.00133693,0.00133693,0.00133693
7,104.887,1.76965,2.81767,1.13186,1.09086,0.46262,0.32632,0.34914,0.1779,0.46039,0.31637,0.33538,0.15141,1.8759,2.74716,1.146,1.10579,0.00127092,0.00127092,0.00127092
8,118.752,1.85763,2.85013,1.21931,1.09684,0.48954,0.35316,0.3645,0.18272,0.47121,0.33089,0.34016,0.15649,1.88152,2.71854,1.1434,1.1053,0.00120491,0.00120491,0.00120491
9,133.466,1.77756,2.87971,1.11779,1.10189,0.43888,0.32857,0.33159,0.17146,0.41875,0.30483,0.30843,0.14212,1.87898,2.73524,1.1718,1.10759,0.00113889,0.00113889,0.00113889
10,148.19,1.72302,2.81497,1.10548,1.09245,0.473,0.35215,0.34901,0.17981,0.4471,0.31995,0.32499,0.1504,1.8442,2.64727,1.13444,1.09196,0.00107288,0.00107288,0.00107288
11,162.159,1.71185,2.75939,1.06659,1.08153,0.47329,0.36262,0.36164,0.18473,0.4626,0.32529,0.33393,0.14955,1.84703,2.65775,1.14126,1.09801,0.00100687,0.00100687,0.00100687
12,176.565,1.69099,2.73842,1.08411,1.08725,0.45105,0.35177,0.34693,0.17787,0.4377,0.31555,0.3195,0.14318,1.84305,2.6595,1.14769,1.1015,0.000940855,0.000940855,0.000940855
13,190.779,1.77029,2.78757,1.13337,1.07487,0.45539,0.36835,0.35846,0.18425,0.43476,0.33275,0.33116,0.15573,1.81879,2.64555,1.12932,1.09101,0.000874842,0.000874842,0.000874842
14,205.44,1.74247,2.74972,1.06616,1.07157,0.5047,0.36144,0.372,0.19207,0.4996,0.33716,0.35133,0.16547,1.83798,2.63584,1.12262,1.10086,0.000808828,0.000808828,0.000808828
15,219.385,1.71125,2.68547,1.08541,1.08224,0.50964,0.37527,0.37624,0.19056,0.47601,0.33701,0.34164,0.1547,1.84435,2.63398,1.1041,1.09649,0.000742815,0.000742815,0.000742815
16,261.535,1.79763,2.814,1.21722,1.0963,0.49666,0.37079,0.37312,0.18995,0.4621,0.34251,0.344,0.16052,1.83583,2.6349,1.13687,1.08615,0.000676802,0.000676802,0.000676802
17,275.363,1.77752,2.75417,1.19247,1.07673,0.45715,0.35471,0.34734,0.18371,0.42396,0.32131,0.31771,0.1506,1.82354,2.63178,1.14862,1.08391,0.000610789,0.000610789,0.000610789
18,288.941,1.73617,2.71813,1.15126,1.06935,0.48625,0.34424,0.35752,0.18734,0.46461,0.31911,0.32836,0.15233,1.84323,2.63011,1.13661,1.10793,0.000544776,0.000544776,0.000544776
19,302.434,1.76538,2.7007,1.15261,1.07412,0.47965,0.34965,0.35993,0.18601,0.44841,0.32499,0.33049,0.15089,1.84408,2.61904,1.13279,1.10935,0.000478762,0.000478762,0.000478762
20,315.974,1.72388,2.65235,1.14512,1.06324,0.46763,0.37174,0.36464,0.18716,0.44518,0.34105,0.33201,0.15543,1.81691,2.61534,1.13935,1.08918,0.000412749,0.000412749,0.000412749
21,329.724,1.7668,2.72209,1.11071,1.05334,0.47617,0.37962,0.373,0.19374,0.45916,0.36262,0.35132,0.16598,1.80332,2.5712,1.11195,1.08236,0.000346736,0.000346736,0.000346736
22,343.5,1.72218,2.64787,1.12469,1.06127,0.48268,0.38518,0.37729,0.19613,0.45277,0.35469,0.34522,0.16295,1.807,2.58198,1.09298,1.08443,0.000280723,0.000280723,0.000280723
23,356.989,1.70817,2.63221,1.04605,1.05685,0.48939,0.38217,0.37768,0.19904,0.45404,0.35425,0.34685,0.16118,1.80564,2.58953,1.08548,1.08554,0.00021471,0.00021471,0.00021471
24,371.008,1.71856,2.62878,1.08931,1.06647,0.49937,0.37594,0.37893,0.19837,0.45549,0.34766,0.34227,0.15877,1.8038,2.57926,1.08337,1.08652,0.000148696,0.000148696,0.000148696
25,384.947,1.72171,2.62349,1.10431,1.06086,0.49387,0.37795,0.38036,0.19849,0.46429,0.34841,0.34545,0.15925,1.79807,2.56938,1.08109,1.08533,8.26832e-05,8.26832e-05,8.26832e-05
