epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.048,2.99323,4.9232,2.73024,1.91549,0.09119,0.05448,0.04183,0.02095,0,0,0,0,2.62902,40.905,inf,1.53911,0.077115,0.000115,0.000115
2,22.435,2.34194,4.13846,1.77819,1.39243,0.16128,0.13409,0.12377,0.05514,0.10397,0.08412,0.07144,0.02248,2.38834,6.11434,8.89736,1.2311,0.0532334,0.000233449,0.000233449
3,33.3882,2.19626,3.82352,1.6049,1.30604,0.17841,0.17723,0.1584,0.0753,0.1715,0.10994,0.10846,0.0406,2.34511,5.47241,3.53509,1.16966,0.0293503,0.000350314,0.000350314
4,43.6075,2.15874,3.62838,1.47673,1.22703,0.27301,0.19233,0.17955,0.08822,0.2513,0.1148,0.12334,0.04779,2.25692,4.91477,2.62279,1.13395,0.00546559,0.000465595,0.000465595
5,53.3234,2.11611,3.52519,1.4672,1.20148,0.26796,0.20701,0.16324,0.07805,0.26532,0.18488,0.15017,0.06258,2.18639,3.46679,2.15855,1.17265,0.0004868,0.0004868,0.0004868
6,63.2115,2.09145,3.52222,1.44652,1.2001,0.28693,0.20733,0.1743,0.08409,0.2642,0.20002,0.16058,0.0674,2.17354,3.39631,1.77959,1.18767,0.0004835,0.0004835,0.0004835
7,73.7012,2.04709,3.4301,1.36808,1.17747,0.30916,0.20714,0.21586,0.10986,0.26568,0.18628,0.19139,0.08362,2.08672,3.36303,1.48765,1.16811,0.0004802,0.0004802,0.0004802
8,83.9929,2.12179,3.45522,1.41715,1.18129,0.31839,0.25071,0.24073,0.12097,0.28204,0.20811,0.20504,0.08727,2.07839,3.40492,1.40231,1.16551,0.0004769,0.0004769,0.0004769
9,93.5024,2.00284,3.31091,1.37418,1.152,0.32924,0.23066,0.23976,0.11965,0.30323,0.20423,0.21237,0.08881,2.08082,3.28667,1.40157,1.16593,0.0004736,0.0004736,0.0004736
10,103.671,2.01139,3.35086,1.33434,1.15781,0.31579,0.22888,0.24788,0.12794,0.30024,0.22034,0.23751,0.10334,2.04783,3.13731,1.35788,1.13079,0.0004703,0.0004703,0.0004703
11,113.765,1.93704,3.24143,1.29282,1.13481,0.36045,0.24482,0.26489,0.1337,0.35051,0.22457,0.24521,0.1065,2.05271,3.13238,1.35187,1.13329,0.000467,0.000467,0.000467
12,123.346,1.98286,3.22713,1.2669,1.1305,0.34339,0.24979,0.26752,0.13627,0.32525,0.23462,0.25466,0.1087,2.04934,3.08561,1.35521,1.14428,0.0004637,0.0004637,0.0004637
13,132.78,1.8901,3.17496,1.23945,1.12593,0.33427,0.24125,0.26055,0.13377,0.32396,0.22628,0.24586,0.10802,2.03909,3.05435,1.32102,1.13925,0.0004604,0.0004604,0.0004604
14,142.702,1.78983,3.14979,1.14102,1.10415,0.36025,0.24598,0.26574,0.13806,0.34532,0.234,0.25128,0.11466,1.99126,3.03025,1.30264,1.13048,0.0004571,0.0004571,0.0004571
15,152.679,1.8145,3.1153,1.14333,1.10062,0.33408,0.27815,0.2767,0.13943,0.33647,0.26697,0.26753,0.12094,1.99896,3.00423,1.23989,1.11927,0.0004538,0.0004538,0.0004538
16,162.027,1.82461,3.10294,1.20149,1.1064,0.37849,0.30852,0.28687,0.14321,0.36812,0.29013,0.27112,0.1246,2.00632,3.00237,1.24661,1.1078,0.0004505,0.0004505,0.0004505
17,171.227,1.80927,3.03129,1.15395,1.09536,0.36532,0.30863,0.29004,0.1466,0.36893,0.27823,0.27784,0.12205,1.98833,2.9968,1.25112,1.10934,0.0004472,0.0004472,0.0004472
