epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.079,2.74758,4.43088,3.10739,1.86979,0.11107,0.12004,0.08525,0.03848,0.11046,0.12026,0.0841,0.03244,2.24846,4.28562,inf,1.27804,0.00031673,0.00031673,0.00031673
2,29.3777,2.19893,3.75817,1.62154,1.32484,0.07404,0.08202,0.04302,0.01755,0.06989,0.07605,0.03975,0.01645,2.62475,12.888,inf,1.7059,0.000643694,0.000643694,0.000643694
3,46.0478,2.10791,3.83067,1.39298,1.27821,0.04416,0.04322,0.02147,0.01007,0.04303,0.04223,0.02064,0.00972,2.74492,198.566,9.65782,1.66376,0.000964056,0.000964056,0.000964056
4,72.7467,2.20204,4.07465,1.47229,1.30933,0.02109,0.02369,0.01101,0.005,0.01326,0.01605,0.00684,0.00304,2.86656,525.31,inf,2.21719,0.00127782,0.00127782,0.00127782
5,86.4644,2.06898,3.84629,1.48384,1.30627,0.02906,0.03314,0.01539,0.00964,0.0233,0.02316,0.01232,0.00508,3.23106,nan,inf,3.21089,0.00158498,0.00158498,0.00158498
6,102.198,2.11431,3.70182,1.47531,1.28345,0.01656,0.01649,0.00827,0.00436,0.01328,0.0138,0.00924,0.00255,nan,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,117.627,2.1549,3.74935,1.48583,1.27608,0.01993,0.02435,0.01025,0.00663,0.0195,0.02365,0.00993,0.0051,nan,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,136.893,2.11193,3.71451,1.36257,1.26481,0.17504,0.11329,0.07529,0.03498,0.16993,0.11017,0.07355,0.03034,nan,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,157.409,2.1259,3.60637,1.36748,1.2341,0.19469,0.18747,0.11104,0.05021,0.18219,0.17258,0.10128,0.03985,2.04958,5.40814,inf,1.23379,0.00153497,0.00153497,0.00153497
10,180.206,2.03504,3.46182,1.32703,1.1995,0.20946,0.21924,0.16485,0.08042,0.20763,0.19987,0.15465,0.06396,1.99803,3.58241,1.984,1.16402,0.00151847,0.00151847,0.00151847
11,196.19,1.97846,3.32902,1.29734,1.18947,0.29585,0.21323,0.19453,0.09135,0.29865,0.21086,0.1956,0.08302,2.02549,3.31839,1.55511,1.1768,0.00150197,0.00150197,0.00150197
