epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8662,2.86995,4.54554,2.74866,1.91697,0.05589,0.0689,0.04252,0.01854,0.05962,0.07362,0.04594,0.0194,2.41827,3.97161,inf,1.22826,0.00031673,0.00031673,0.00031673
2,23.648,2.32636,3.87968,1.71933,1.36104,0.10617,0.06564,0.0563,0.02536,0.10396,0.06626,0.05516,0.0226,2.19726,4.15268,inf,1.33505,0.000643694,0.000643694,0.000643694
3,34.1634,2.16616,3.78209,1.53965,1.29576,0.02081,0.02387,0.01093,0.00663,0.02041,0.02476,0.01078,0.00478,2.452,7.82405,inf,1.60084,0.000964056,0.000964056,0.000964056
4,63.6928,2.31447,3.95917,1.60154,1.31069,0.07495,0.05682,0.03658,0.01789,0.06737,0.04887,0.03153,0.01237,2.23619,6.45693,4.70639,1.35824,0.00127782,0.00127782,0.00127782
5,74.9293,2.18298,3.81951,1.51118,1.31145,0.14628,0.12891,0.11268,0.05,0.13489,0.11237,0.09577,0.036,2.25183,4.24597,2.18315,1.26505,0.00158498,0.00158498,0.00158498
6,95.3949,2.16193,3.77549,1.53881,1.26555,0.20166,0.1655,0.14587,0.07328,0.1693,0.14494,0.12323,0.04261,2.1321,3.83773,1.63179,1.14799,0.00158448,0.00158448,0.00158448
7,106.164,2.14947,3.69062,1.50314,1.23655,0.24707,0.14753,0.15442,0.06869,0.20345,0.13268,0.13485,0.05292,2.0806,3.84933,2.00431,1.12817,0.00156798,0.00156798,0.00156798
8,121.15,2.10642,3.62685,1.39973,1.21251,0.20815,0.19719,0.1634,0.07622,0.19686,0.18981,0.15636,0.06403,2.10991,3.54509,1.5272,1.16091,0.00155148,0.00155148,0.00155148
9,137.535,2.18969,3.63533,1.4506,1.21473,0.25868,0.19059,0.1842,0.0855,0.24699,0.18392,0.17898,0.06834,2.09504,3.5423,1.48118,1.15404,0.00153497,0.00153497,0.00153497
10,159.979,2.07949,3.51463,1.36055,1.18053,0.23388,0.17532,0.17918,0.08721,0.22946,0.17073,0.17458,0.07615,2.08462,3.40828,1.66375,1.14197,0.00151847,0.00151847,0.00151847
11,173.554,2.01834,3.38078,1.32683,1.1757,0.25195,0.17618,0.17126,0.07941,0.2376,0.17446,0.1672,0.06789,2.06701,3.36675,1.44424,1.12692,0.00150197,0.00150197,0.00150197
12,192.278,2.03595,3.49031,1.29254,1.18774,0.26845,0.24051,0.19561,0.09219,0.25309,0.21465,0.18001,0.07505,2.04673,3.31919,1.49837,1.08543,0.00148546,0.00148546,0.00148546
13,206.007,2.11801,3.58628,1.37218,1.17325,0.25858,0.19605,0.1901,0.09015,0.2272,0.17106,0.16653,0.06775,2.03877,3.20052,1.41187,1.08313,0.00146896,0.00146896,0.00146896
14,217.765,2.04278,3.46375,1.29428,1.16534,0.21139,0.16525,0.17346,0.08284,0.18904,0.14421,0.15074,0.06168,2.04918,3.27599,1.43235,1.0824,0.00145246,0.00145246,0.00145246
15,237.179,2.04298,3.34758,1.29191,1.16298,0.30911,0.19665,0.22089,0.10477,0.30723,0.19795,0.22359,0.0956,2.01917,3.11216,1.3113,1.09858,0.00143595,0.00143595,0.00143595
16,248.323,1.99632,3.35231,1.2562,1.1427,0.31632,0.23849,0.22622,0.10976,0.31007,0.22708,0.21588,0.09196,1.93301,3.13621,1.27265,1.08686,0.00141945,0.00141945,0.00141945
17,264.616,1.97457,3.31508,1.26258,1.15131,0.32879,0.23353,0.22752,0.10843,0.32579,0.22875,0.22404,0.09571,1.98471,3.09854,1.25037,1.09834,0.00140295,0.00140295,0.00140295
