epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.09833,2.98203,5.2711,4.7508,2.0378,0.03167,0.09248,0.01334,0.00527,0.03217,0.08755,0.01212,0.0039,2.56018,4.38239,7.59501,1.71722,0.00023338,0.00023338,0.00023338
2,12.4152,2.59767,4.06702,2.74293,1.57394,0.05483,0.13317,0.02256,0.00955,0.04488,0.1344,0.01929,0.00729,2.22627,3.8304,4.04561,1.56289,0.000478644,0.000478644,0.000478644
3,17.5923,2.439,3.75524,2.41921,1.47116,0.06145,0.28113,0.03936,0.01405,0.06098,0.19975,0.03731,0.01373,2.53175,5.57609,5.77941,1.83681,0.000718957,0.000718957,0.000718957
4,22.7819,2.32379,3.48339,2.42301,1.4324,0.05927,0.24291,0.03615,0.01408,0.06242,0.20345,0.03494,0.01253,2.66006,8.28735,6.57279,2.2501,0.000954319,0.000954319,0.000954319
5,27.9826,2.36323,3.61599,2.35397,1.54345,0.04534,0.27744,0.02715,0.0107,0.04123,0.25894,0.02429,0.00852,2.53024,8.11451,inf,2.02166,0.00118473,0.00118473,0.00118473
6,33.1889,2.28298,3.52332,2.43605,1.47161,0.11292,0.25401,0.07958,0.03167,0.1061,0.24784,0.07395,0.02388,2.17857,3.97769,4.09431,1.60191,0.00141019,0.00141019,0.00141019
7,38.4031,2.35423,3.46306,2.23376,1.44805,0.05662,0.26141,0.04714,0.01855,0.05127,0.26264,0.0454,0.0161,2.27113,3.89288,7.55662,1.63467,0.00156798,0.00156798,0.00156798
8,43.5805,2.27305,3.44421,2.27101,1.45673,0.05646,0.19482,0.03116,0.01287,0.05495,0.20345,0.03182,0.01129,2.40588,4.14975,5.5832,1.74505,0.00155148,0.00155148,0.00155148
9,48.7015,2.26436,3.38884,2.2139,1.41723,0.10509,0.25401,0.05444,0.02094,0.09918,0.22688,0.05103,0.01571,2.25659,3.86815,3.14664,1.64722,0.00153497,0.00153497,0.00153497
10,54.0268,2.22611,3.37911,2.17346,1.42328,0.15861,0.23305,0.0816,0.03051,0.14469,0.22318,0.07494,0.02362,2.24124,3.91728,2.79715,1.6643,0.00151847,0.00151847,0.00151847
11,59.2204,2.26076,3.29384,2.02503,1.39804,0.14546,0.20715,0.08664,0.03305,0.14892,0.21208,0.08545,0.0266,2.20188,3.89479,2.89502,1.64683,0.00150197,0.00150197,0.00150197
